x,y,z,w
-267.302,775.099,262.099,1.0534
-588.153,-1592.84,-465.583,0.285461
309.793,-881.916,-956.595,0.8322
185.525,65.0148,142.238,0.580941
36.2343,11.057,67.0424,0.224638
-1503.51,689.289,-450.376,0.862047
186.333,62.749,156.011,0.115351
-174.506,-193.839,265.678,0.172115
-207.176,216.752,835.255,0.656658
185.282,63.8544,148.739,0.738234
185.574,63.5431,134.551,0.381747
170.936,67.2013,149.601,0.146968
206.914,38.3919,15.9279,0.443242
274.558,68.6437,303.221,0.645183
1071.32,-1191.73,1100.48,0.976247
196.404,76.9055,131.844,0.565773
-371.953,165.863,534.694,0.586587
183.128,68.1635,132.134,0.878466
289.83,40.26,335.12,0.964376
178.033,63.3698,152.569,0.865618
185.887,62.9086,147.853,0.621958
-315.04,-577.036,-83.6159,0.923054
178.951,74.9475,152.535,0.75746
-151.319,-358.405,-589.658,0.485662
100.347,265.743,-320.35,0.242857
-282.829,-14.5892,-359.18,1.07842
183.121,66.8073,154.887,0.737471
182.551,73.0509,158.882,0.491949
53.2637,-7.08245,-171.45,0.926045
-662.981,406.803,517.646,1.08349
-73.5198,-764.84,-539.433,0.882159
-1009.1,1376.71,-505.193,0.202512
179.794,63.4879,150.482,0.556404
188.411,67.1434,143.607,0.741652
157.061,325.637,198.584,0.389804
-931.989,-939.662,1067.9,0.812363
-59.9184,7.11102,10.7898,1.05206
-220.865,793.641,80.2629,0.545753
20.2782,-0.543268,-39.8914,0.304627
162.595,617.588,99.4072,1.01839
-117.273,498.227,-292.702,0.98934
175.507,67.023,163.406,0.303009
-333.139,-788.51,385.43,0.141353
195.115,67.0892,149.681,0.644481
182.641,65.9453,145.388,0.22775
183.756,67.754,147.275,0.760237
-866.18,-1425.84,1378.07,0.510535
2.31734,-305.088,-326.948,0.266448
316.802,-115.619,1237.9,0.535072
481.962,73.51,61.025,0.228574
344.61,221.058,410.923,0.74333
625.205,94.0692,881.956,0.837175
-188.492,-5.62032,26.4144,0.212186
3.83861,31.7166,21.5769,0.208676
177.919,67.4558,165.496,0.516669
182.891,64.5939,153.715,0.31128
187.58,70.0495,170.065,0.718275
182.68,63.3574,138.839,1.01565
183.244,64.0019,147.382,0.478185
181.742,64.6932,145.718,0.270568
187.075,65.1258,140.994,0.295624
178.86,61.6841,140.74,0.403995
184.916,67.0035,145.43,0.871172
364.505,200.991,-251.463,0.548622
183.764,62.1088,145.65,0.594858
179.905,59.5404,147.291,0.192746
168.614,-254.983,155.909,0.159633
-55.934,385.644,1287.66,0.856066
634.983,-1124.21,-1002.63,0.299622
181.393,64.7807,149.375,0.890368
183.422,58.4504,142.854,0.653362
254.512,166.456,249.904,0.405429
-248.462,135.094,-343.558,0.751967
185.473,66.8592,141.658,0.319733
-465.947,-435.284,3.51092,0.132685
-862.363,503.371,697.272,0.536262
163.611,53.827,141.924,0.576974
178.905,65.6763,160.342,0.243223
92.796,-64.6878,203.132,0.473821
416.354,-117.408,-609.48,0.339998
181.822,63.8226,147.511,0.308014
-243.571,350.229,541.528,0.987692
182.021,64.3214,145.16,0.273528
-699.279,-491.057,-364.42,0.285064
173.028,188.747,-37.6878,1.01168
-33.8696,-84.4879,-364.436,1.06933
144.212,4.25496,119.344,0.474401
10.3133,-44.1889,195.658,0.841813
178.044,68.7786,151.31,0.912708
244.344,135.838,-17.0465,0.818894
166.167,57.7659,183.302,0.989676
597.653,-239.501,79.4385,0.107569
182.068,65.7218,152.888,1.01903
154.813,89.3626,138.207,1.00652
178.238,61.6744,154.484,0.328248
-240.583,305.682,328.629,0.431614
-34.9541,-597.103,-302.705,0.74687
115.562,33.5545,98.8628,0.466894
235.766,-22.0849,22.7648,0.219785
-104.244,679.379,-260.5,1.04018
180.74,62.9885,141.812,0.54557
-559.368,112.896,142.783,0.724043
339.906,-2349.68,-1086.07,0.239622
183.004,68.293,149.641,0.661449
185.951,63.9216,150.815,0.522712
468.075,303.558,-528.818,0.616526
-563.676,-295.487,259.648,0.433872
37.4481,47.1362,29.5266,0.150508
-15.4179,238.711,-13.3678,1.06908
893.728,-567.031,-1400.44,0.922352
493.368,987.783,-1390.31,0.944234
117.683,1770.46,-606.835,0.114496
-257.56,-641.616,-112.983,0.483618
154.6,51.4272,97.5476,0.983877
-1.31665,59.2278,22.6238,0.633128
188.708,66.9485,136.825,0.537422
1119.67,-784.277,801.191,0.59855
181.864,59.0709,137.594,0.333039
186.594,64.4591,152.364,0.708814
9.40642,-271.406,34.1494,0.405307
73.7107,-12.567,401.278,0.40427
182.531,60.7886,153.614,0.316224
-370.397,121.338,289.665,0.350069
-215.554,251.505,743.921,0.331086
178.979,62.9693,158.012,0.674328
172.698,64.4702,163.231,0.71919
-726.954,-780.729,-1079.79,0.331483
153.728,63.3392,143.161,0.179623
187.674,50.6252,147.1,0.590555
170.085,58.3933,178.104,0.392154
183.132,67.1128,131.485,0.648357
180.55,68.6398,152.739,0.692853
185.093,70.0227,155.102,0.367922
393.249,372.097,-617.527,0.874896
184.356,66.0239,155.187,0.141627
178.452,66.4515,146.72,0.114466
187.698,66.5941,144.216,0.879656
182.484,62.7508,148.774,1.02151
-721.719,375.979,680.14,0.123011
-551.146,-591.6,0.406265,0.815323
-58.1543,-349.557,-576.919,0.282104
300.085,-419.385,-520.604,0.62562
179.886,63.8022,154.666,0.999869
-417.55,80.6537,315.799,0.918079
-1326.41,259.408,-510.335,0.639933
190.287,64.3473,143.355,1.04528
467.954,375.148,-49.1547,0.900256
360.826,-450.839,316.926,0.922413
1195.66,114.193,-496.541,0.550942
183.949,65.2531,145.749,0.82805
183.009,65.7363,140.684,0.297943
-726.594,253.634,520.631,0.329926
136.186,74.8116,161.27,0.771133
180.805,74.8731,168.362,0.335817
182.682,67.363,149.664,0.637492
0.164741,101.918,108.571,0.269225
13.3484,11.0128,171.247,0.839677
661.829,206.629,359.375,0.370089
180.462,57.2659,144.65,0.959066
180.993,65.1556,151.8,0.120783
181.475,65.9412,145.375,0.704053
443.945,944.353,917.245,0.796738
186.562,69.2138,142.808,0.523505
185.282,69.2883,158.721,0.142146
182.656,66.8008,149.003,0.34485
-410.503,-1.12723,-22.3998,0.171017
